ts,frame,x,y,z,v
1680172393208,46,7.975601748578302e-35,8.314111979191465e-35,6.508538307032157e-35,9.555416794504271e-35
1680172393208,46,1.4145599404489192e-34,8.76550582771018e-35,1.098590387984624e-34,1.2565826832480196e-34
1680172393243,47,8.915981158024304e-35,5.718639393646937e-35,7.975505895279187e-35,6.245212075207988e-35
1680172393243,47,2.8028471803766647e-35,5.831401329520079e-35,3.877031998271377e-34,1.401298464324817e-45
1680172393276,48,9.80908925027372e-45,3.363116314379561e-44,9.000014829693871e-38,8.448963737427694e-38
1680172393276,48,8.118361556452783e-38,7.273487883745136e-38,8.191866387139249e-38,1.0579740627481167e-37
1680172393276,48,4.203895392974451e-45,1.793662034335766e-43,7.825114938827158e-35,1.2640990742254406e-34
1680172393276,48,1.3393305978836968e-34,1.0158389147234708e-34,9.06645189656362e-35,8.99117778419402e-35
1680172393276,48,1.7154978589020744e-34,1.4597113213124764e-34,1.7079695293101529e-34,7.674702745416643e-35
1680172393276,48,1.1662900234254826e-34,1.256580616949356e-34,9.706892557754666e-35,1.376950434912967e-34
1680172393310,49,9.80908925027372e-45,3.923635700109488e-44,1.0653082347026385e-37,8.926521769914506e-38
1680172393310,49,8.412226736367569e-38,6.648986891692295e-38,6.685760887031878e-38,6.318422826035614e-38
1680172393310,49,5.987771879874144e-38,4.203895392974451e-45,1.793662034335766e-43,7.561779523453373e-35
1680172393310,49,8.126040918665813e-35,8.27651223117698e-35,1.0233602418588103e-34,1.7380585112713571e-34
1680172393310,49,1.4822744991579035e-34,4.157074356694964e-35,1.5875852472558971e-34,1.2264924385487432e-34
1680172393310,49,9.932644870297644e-35,1.5274153189394025e-34,1.3694281894226658e-34,1.0233626525405844e-34
1680172393310,49,8.389380925814406e-35,1.0760239958968315e-34,1.294192188783972e-34,9.555419664363526e-35
1680172393342,50,9.80908925027372e-45,4.484155085839415e-44,8.632621837797805e-38,1.1240867637755759e-37
1680172393342,50,9.146917431864128e-38,6.612294732183028e-38,6.281697035363203e-38,6.134733897099288e-38
1680172393342,50,7.346920967950228e-38,9.293837410135342e-38,4.203895392974451e-45,1.793662034335766e-43
